,study.id,study.type,continent,study.yrs,exp.duration,yrs,lat,long,elevation ,map,mat,phot,dom.plant,plant.life,plant.season,aridity.index,Aridity Index,humid,clim,PET,MAP.clim,MAT.clim,system,sub.system,soil.class,sand,clay,silt,starting.bD,starting.bD.units,reps.exp,reps.control,graz.exp.rate,graz.control.rate,graz.exp.strat,graz.control.strat,animal1.exp.rate,animal1.exp,animal2.exp.rate,animal2.exp,animal1.control.rate,animal1.control,animal2.control.rate,animal2.control,animal.unit,animal.rate.unit,soil.upper,soil.lower,soil.dept,meanBD.exp,sdBD.exp,seBD.exp,meanBD.control,sdBD.control,seBD.control,BD.units,BD?,meanSOC.exp,sdSOC.exp,seSOC.exp,meanSOC.control,sdSOC.control,seSOC.control,SOC.units,meanSOC.exp.gkg,sdSOC.exp.gkg,seSOC.exp.gkg,meanSOC.control.gkg,sdSOC.control.gkg,seSOC.control.gkg,SOC.units,SOC?,seWHC.exp,meanWHC.control,seWHC.control,WHC.units,meanSOM.exp,sdSOM.exp,seSOM.exp,meanSOM.control,sdSOM.control,seSOM.control,SOM.units,meanSOM.exp.gkg,sdSOM.exp.gkg,seSOM.exp.gkg,meanSOM.control.gkg,sdSOM.control.gkg,seSOM.control.gkg,SOM.units.gkg,meanCN.exp,sdCN.exp,seCN.exp,meanCN.control,sdCN.control,seCN.control,CN.units,CN?,meanTN.exp,sdTN.exp,seTN.exp,meanTN.control,sdTN.control,seTN.control,TN.units,meanTN.exp.gkg,sdTN.exp.gkg,seTN.exp.gkg,meanTN.control.gkg,sdTN.control.gkg,seTN.control.gkg,TN.units,meanN2O.exp,seN2O.exp,meanN2O.control,seN2O.control,N2O.units,meanCO2.exp,seCO2.exp,meanCO2.control,seCO2.control,CO2.units,meanER.exp,seER.exp,meanER.control,seER.control,ER.units,meanNPP.exp,sdNPP.exp,seNPP.exp,meanNPP.control,sdNPP.control,seNPP.control,NPP.units,Notes
,11,article,africa,2,2,1,-28.8,29.35,1268,684,13,c3,poaceae,perennial,cool,0.6804,0.6804,sub-humid,warm,1446,861,15.9,,,5,66,20,15,,,3,3,,,none,cont,,,,,,,,,,,0,50,3,,,,,,,g cm-3,0,0.15,0.173205081,0.1,4.95,0.108365832,0.062565042,%,5.9,5.19615242,3,49.5,1.083658317,0.625650421,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
,11,article,africa,2,2,1,-28.8,29.35,1268,684,13,c3,poaceae,perennial,cool,0.6804,0.6804,sub-humid,warm,1446,861,15.9,,,5,66,20,15,,,3,3,,,none,cont,,,,,,,,,,,0,50,3,,,,,,,g cm-3,0,0.59,0.519615242,0.3,-0.3,0.207846097,0.12,%,-21.7,11.25833025,6.5,-3,2.078460969,1.2,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
,11,article,africa,2,2,1,-28.8,29.35,1268,684,13,c3,poaceae,perennial,cool,0.6804,0.6804,sub-humid,warm,1446,861,15.9,,,5,66,20,15,,,3,3,,,none,cont,,,,,,,,,,,0,50,3,,,,,,,g cm-3,0,-2.17,1.125833025,0.65,,,,%,-15,8.66025404,5,,,,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
,11,article,africa,2,2,1,-28.8,29.35,1268,684,13,c3,poaceae,perennial,cool,0.6804,0.6804,sub-humid,warm,1446,861,15.9,,,5,66,20,15,,,3,3,,,none,cont,,,,,,,,,,,0,50,3,,,,,,,g cm-3,0,-1.5,0.866025404,0.5,1.86,0.225166605,0.13,%,-7.3,6.75499815,3.9,18.6,2.25166605,1.3,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,g kg-1,,,,,,,g kg-1,0,,,,,,,,,,,,,,,,,,,,,,
,14,article,asia,8,8,2,37.102472,103.518111,2310,185,8.3,c3,poaceae,annual,cool,0.5077,0.5077,sub-humid,warm,776,329,1.6,grassland,temperate desert steppe,0,,,,,,5,4,low,heavy,,,0.45,sheep,,,1.5,sheep,,,sheep ha-1,,0,10,1,1.04,0.055529198,0.024833412,1.17,0.069293029,0.034646515,g cm-3,1,4.2282,0.092564123,0.041395934,1.5254,0.025602842,0.012801421,%,42.282,0.925641232,0.413959343,15.254,0.256028425,0.128014212,g kg-1,1,,,,,7.29,,,2.63,,,%,72.9,,,26.3,,,g kg-1,,,,,,,,0,0.32,0.013461648,0.006020232,0.13,0.004747224,0.002123023,%,3.2,0.134616484,0.060202322,1.3,0.047472244,0.021230233,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,
,14,article,asia,8,8,2,37.102472,103.518111,2310,185,8.3,c3,poaceae,annual,cool,0.5077,0.5077,sub-humid,warm,776,329,1.6,grassland,temperate desert steppe,0,,,,,,5,4,low,moderate,,,0.45,sheep,,,0.75,sheep,,,sheep ha-1,,0,10,1,1.04,0.055529198,0.024833412,1,0.059224811,0.029612406,g cm-3,1,4.2282,0.092564123,0.041395934,2.088,0.035045716,0.017522858,%,42.282,0.925641232,0.413959343,20.88,0.350457159,0.17522858,g kg-1,1,,,,,7.29,,,3.6,,,%,72.9,,,36,,,g kg-1,,,,,,,,0,0.32,0.013461648,0.006020232,0.17,0.006207909,0.002776261,%,3.2,0.134616484,0.060202322,1.7,0.062079088,0.027762612,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,
,14,article,asia,8,8,2,37.102472,103.518111,2310,185,8.3,c3,poaceae,annual,cool,0.5077,0.5077,sub-humid,warm,776,329,1.6,grassland,temperate desert steppe,0,,,,,,5,4,low,none,,,0.45,sheep,,,0,sheep,,,sheep ha-1,,0,10,1,1.04,0.055529198,0.024833412,1.15,0.068108533,0.034054267,g cm-3,1,4.2282,0.092564123,0.041395934,2.3316,0.039134383,0.019567191,%,42.282,0.925641232,0.413959343,23.316,0.391343828,0.195671914,g kg-1,1,,,,,7.29,,,4.02,,,%,72.9,,,40.2,,,g kg-1,,,,,,,,0,0.32,0.013461648,0.006020232,0.19,0.006938251,0.00310288,%,3.2,0.134616484,0.060202322,1.9,0.06938251,0.031028802,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,
,14,article,asia,8,8,2,37.102472,103.518111,2310,185,8.3,c3,poaceae,annual,cool,0.5077,0.5077,sub-humid,warm,776,329,1.6,grassland,temperate desert steppe,0,,,,,,5,4,moderate,heavy,,,0.75,sheep,,,1.5,sheep,,,sheep ha-1,,0,10,1,1,0.05339346,0.023878281,1.17,0.069293029,0.034646515,g cm-3,1,2.088,0.045710678,0.020442437,1.5254,0.025602842,0.012801421,%,20.88,0.457106781,0.204424367,15.254,0.256028425,0.128014212,g kg-1,1,,,,,3.6,,,2.63,,,%,36,,,26.3,,,g kg-1,,,,,,,,0,0.17,0.007151501,0.003198248,0.13,0.004747224,0.002123023,%,1.7,0.071515007,0.031982484,1.3,0.047472244,0.021230233,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,
,14,article,asia,8,8,2,37.102472,103.518111,2310,185,8.3,c3,poaceae,annual,cool,0.5077,0.5077,sub-humid,warm,776,329,1.6,grassland,temperate desert steppe,0,,,,,,5,4,moderate,none,,,0.75,sheep,,,0,sheep,,,sheep ha-1,,0,10,1,1,0.05339346,0.023878281,1.15,0.068108533,0.034054267,g cm-3,1,2.088,0.045710678,0.020442437,2.3316,0.039134383,0.019567191,%,20.88,0.457106781,0.204424367,23.316,0.391343828,0.195671914,g kg-1,1,,,,,3.6,,,4.02,,,%,36,,,40.2,,,g kg-1,,,,,,,,0,0.17,0.007151501,0.003198248,0.19,0.006938251,0.00310288,%,1.7,0.071515007,0.031982484,1.9,0.06938251,0.031028802,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,
,14,article,asia,8,8,2,37.102472,103.518111,2310,185,8.3,c3,poaceae,annual,cool,0.5077,0.5077,sub-humid,warm,776,329,1.6,grassland,temperate desert steppe,0,,,,,,5,4,heavy,none,,,1.5,sheep,,,0,sheep,,,sheep ha-1,,0,10,1,1.17,0.062470348,0.027937589,1.15,0.068108533,0.034054267,g cm-3,1,1.5254,0.03339419,0.014934336,2.3316,0.039134383,0.019567191,%,15.254,0.333941898,0.149343357,23.316,0.391343828,0.195671914,g kg-1,1,,,,,2.63,,,4.02,,,%,26.3,,,40.2,,,g kg-1,,,,,,,,0,0.13,0.005468795,0.002445719,0.19,0.006938251,0.00310288,%,1.3,0.054687947,0.024457193,1.9,0.06938251,0.031028802,g kg-1,1,,,,,,,,,,,,,,,,,,,,,,
